Timestamp,Face Emotion,Voice Emotion
2025-06-12 12:08:35,sad,N/A
2025-06-12 12:08:35,sad,N/A
2025-06-12 12:08:35,sad,N/A
2025-06-12 12:08:35,Uncertain,N/A
2025-06-12 12:08:35,N/A,disgust
2025-06-12 12:08:35,sad,N/A
2025-06-12 12:08:36,Uncertain,N/A
2025-06-12 12:08:36,Uncertain,N/A
2025-06-12 12:08:36,Uncertain,N/A
2025-06-12 12:08:36,Uncertain,N/A
2025-06-12 12:08:37,Uncertain,N/A
2025-06-12 12:08:37,sad,N/A
2025-06-12 12:08:37,Uncertain,N/A
2025-06-12 12:08:37,Uncertain,N/A
2025-06-12 12:08:37,sad,N/A
2025-06-12 12:08:38,Uncertain,N/A
2025-06-12 12:08:38,Uncertain,N/A
2025-06-12 12:08:38,sad,N/A
2025-06-12 12:08:38,Uncertain,N/A
2025-06-12 12:08:39,Uncertain,N/A
2025-06-12 12:08:39,sad,N/A
2025-06-12 12:08:39,Uncertain,N/A
2025-06-12 12:08:39,sad,N/A
2025-06-12 12:08:40,sad,N/A
2025-06-12 12:08:40,sad,N/A
2025-06-12 12:08:40,sad,N/A
2025-06-12 12:08:40,sad,N/A
2025-06-12 12:08:40,sad,N/A
2025-06-12 12:08:41,sad,N/A
2025-06-12 12:08:41,Uncertain,N/A
2025-06-12 12:08:41,Uncertain,N/A
2025-06-12 12:08:42,Uncertain,N/A
2025-06-12 12:08:42,N/A,disgust
2025-06-12 12:08:42,Uncertain,N/A
2025-06-12 12:08:42,Uncertain,N/A
2025-06-12 12:08:42,Uncertain,N/A
2025-06-12 12:08:42,sad,N/A
2025-06-12 12:08:43,Uncertain,N/A
2025-06-12 12:08:43,Uncertain,N/A
2025-06-12 12:08:43,Uncertain,N/A
2025-06-12 12:08:43,Uncertain,N/A
2025-06-12 12:08:44,Uncertain,N/A
2025-06-12 12:08:44,sad,N/A
2025-06-12 12:08:44,sad,N/A
2025-06-12 12:08:44,Uncertain,N/A
2025-06-12 12:08:44,Uncertain,N/A
2025-06-12 12:08:45,Uncertain,N/A
2025-06-12 12:08:45,Uncertain,N/A
2025-06-12 12:08:45,Uncertain,N/A
2025-06-12 12:08:45,Uncertain,N/A
2025-06-12 12:08:46,Uncertain,N/A
2025-06-12 12:08:46,Uncertain,N/A
2025-06-12 12:08:46,Uncertain,N/A
2025-06-12 12:08:46,Uncertain,N/A
2025-06-12 12:08:46,Uncertain,N/A
2025-06-12 12:08:47,Uncertain,N/A
2025-06-12 12:08:47,Uncertain,N/A
2025-06-12 12:08:47,Uncertain,N/A
2025-06-12 12:08:47,Uncertain,N/A
2025-06-12 12:08:48,Uncertain,N/A
2025-06-12 12:08:48,N/A,disgust
2025-06-12 12:08:48,Uncertain,N/A
2025-06-12 12:08:48,Uncertain,N/A
2025-06-12 12:08:48,Uncertain,N/A
2025-06-12 12:08:49,Uncertain,N/A
2025-06-12 12:08:49,Uncertain,N/A
2025-06-12 12:08:49,Uncertain,N/A
2025-06-12 12:08:49,Uncertain,N/A
2025-06-12 12:08:49,Uncertain,N/A
2025-06-12 12:08:50,Uncertain,N/A
2025-06-12 12:08:50,Uncertain,N/A
2025-06-12 12:08:50,Uncertain,N/A
2025-06-12 12:08:50,Uncertain,N/A
2025-06-12 12:08:51,Uncertain,N/A
2025-06-12 12:08:51,Uncertain,N/A
2025-06-12 12:08:51,Uncertain,N/A
2025-06-12 12:08:51,Uncertain,N/A
2025-06-12 12:08:52,Uncertain,N/A
2025-06-12 12:08:52,Uncertain,N/A
2025-06-12 12:08:52,Uncertain,N/A
2025-06-12 12:08:52,Uncertain,N/A
2025-06-12 12:08:53,Uncertain,N/A
2025-06-12 12:08:53,Uncertain,N/A
